season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
19,2,Sadie Robertson,1119636.8710360003,110620.12850330505,913805.6410000876,1342075.3250496183,1125384.6144405082
19,3,Antonio Sabato Jr.,597997.022883697,57649.564040406076,479024.19993345183,710948.8672938525,599022.1475080579
19,3,Jonathan Bennett,838224.1196423748,82725.41065030599,674615.6684849529,985674.394717505,838204.3579462175
19,3,Lea Thompson,831113.5458654556,87763.88624408463,664336.2375210085,996500.5935549164,832465.1251848151
19,3,Janel Parrish,1456883.1966530713,148764.3515686716,1162700.1085593794,1735650.0873415237,1446022.2670474164
19,3,Alfonso Ribeiro,1172537.0663699477,115093.81957201859,945597.9947327342,1394121.02130781,1174111.4978085137
19,3,Randy Couture,351097.1394273881,36727.71702389268,280092.3029836842,414872.6953218615,353439.96850999293
19,3,Tommy Chong,1077055.8257558427,107962.62947749597,863132.3627134443,1296037.989100632,1076842.7829685195
19,3,Betsey Johnson,596973.9626467724,57358.029628685515,486267.9217127098,717543.0943792713,594635.3096892415
19,3,Michael Waltrip,477708.7428070221,46696.81649317436,383821.12951630284,566662.1847294999,477547.75109089655
19,3,Bethany Mota,1450599.9581774822,140397.05993917078,1166125.0187908406,1718335.0470234773,1453685.311222292
19,3,Sadie Robertson,1172976.2265824475,113835.36061955646,954532.766632024,1389737.3073228055,1174989.7785686487
19,4,Antonio Sabato Jr.,709877.1180393354,69507.56790406084,577904.1204931687,839801.4914957861,708915.154883293
19,4,Jonathan Bennett,539450.7231421738,53894.937832479685,432278.7226277362,653474.816625643,537778.0425496278
19,4,Lea Thompson,1173346.8174346902,115381.17515392833,933504.7752053386,1390098.1570812867,1177446.5980543997
19,4,Janel Parrish,1298036.428983948,123808.25943800446,1078932.2043082665,1538400.062789515,1290989.2768058418
19,4,Alfonso Ribeiro,1587601.359007615,159529.8164463866,1278497.6752366414,1887955.207843704,1584415.8054794162
19,4,Tommy Chong,846967.4280785292,82384.63347660721,677107.2790856254,1001271.3673185592,849882.2306536664
19,4,Betsey Johnson,570017.1122113448,53510.82288205013,473734.5617981277,681802.1001907493,568023.0863434002
19,4,Michael Waltrip,548245.4484514385,55617.689977811104,437693.9993429395,654205.7274413016,548167.5884028666
19,4,Bethany Mota,1275361.913351134,128343.03248019502,1025307.600669012,1515208.277782603,1287006.9764256845
19,4,Sadie Robertson,1432235.545141462,135372.30079409256,1161581.8733766496,1703983.2815278366,1431166.7693163615
19,6,Antonio Sabato Jr.,662783.1319968133,63668.430084629435,535934.4012121846,789417.4902713719,658778.9433037811
19,6,Jonathan Bennett,676260.1567008161,72553.35328900928,521352.5637014002,806825.3240321466,677891.6799033402
19,6,Lea Thompson,1025611.6637816675,98782.8270743265,842601.0941497702,1217253.9435649086,1025562.8644118789
19,6,Janel Parrish,1350813.716538267,133977.41469245136,1091467.2998213088,1601301.145919643,1347428.0128262697
19,6,Alfonso Ribeiro,1718551.5676066442,165986.4875247831,1372459.22021718,2046919.3440919698,1722559.2528833775
19,6,Tommy Chong,830487.988746942,82847.11395527916,684057.9547628458,996464.6837102242,826265.1939331965
19,6,Michael Waltrip,670304.8887790625,66438.52759215875,538711.7972735433,799495.8060304589,668276.8379981132
19,6,Bethany Mota,1538952.2863476719,158441.69743291152,1212651.122340701,1825765.7696382976,1549793.633823108
19,6,Sadie Robertson,1520687.1023625461,148007.76759287342,1239535.186246066,1814177.344124424,1516298.5823680894
19,7,Antonio Sabato Jr.,627860.2523302371,60218.32613632164,509203.4960948507,737639.4053366809,629562.6568917108
19,7,Lea Thompson,1328136.0677634855,130546.71482366898,1081355.228015564,1570694.6677152372,1335532.87829225
19,7,Janel Parrish,1527073.7733931378,155945.482905232,1212001.2818862554,1832768.4397702063,1534082.4845284969
19,7,Alfonso Ribeiro,1747782.6168169603,180938.5372278433,1441956.664478555,2091775.1557325597,1734968.18179528
19,7,Tommy Chong,851911.1147318861,79413.85095533631,700699.151719302,998502.5541789109,854278.6531806383
19,7,Michael Waltrip,620588.5379283886,64589.09619734532,494405.86964378366,747044.6717970636,619526.5565276429
19,7,Bethany Mota,2002675.3115376944,199410.71245474447,1617647.2949746358,2399095.4602976353,2002477.852443555
19,7,Sadie Robertson,1293917.174447634,125420.17594982365,1047206.8573269121,1514177.2694283992,1297193.2021470089
19,8,Lea Thompson,965023.4638453505,97951.89070294442,781781.7652524359,1160202.2416060322,962598.8905040405
19,8,Janel Parrish,2048312.6671977632,200404.69662288384,1637623.2075087784,2425015.218507121,2049147.176286905
19,8,Alfonso Ribeiro,2044634.5602383805,203439.8414656036,1650760.4517609463,2435096.3913452076,2046970.5021641988
19,8,Tommy Chong,960703.6323187673,97981.75104153786,759386.7301412815,1140805.8458921334,964384.3906651903
19,8,Michael Waltrip,675725.6388911755,66958.28978581598,522571.86867521884,798124.3338252896,676134.3837116263
19,8,Bethany Mota,1798357.3697918134,175016.94577403401,1470328.025335759,2129104.922497264,1803085.1147656878
19,8,Sadie Robertson,1521478.0322363083,151903.54800624086,1219352.1202900852,1801435.5088379506,1524959.7579051624
